Type of Crosswalk;X;Y;Lat;Long;geopoint
Parallel Lines;490108.0;5458827.0;49.2821164959;-123.136012663;49.2821164959,-123.136012663
Parallel Lines;490149.0;5458323.0;49.2775836009;-123.135436509;49.2775836009,-123.135436509
Parallel Lines;491451.0;5457238.0;49.2678434359;-123.117512815;49.2678434359,-123.117512815
Parallel Lines;491783.0;5456612.0;49.262217002;-123.112936368;49.262217002,-123.112936368
Parallel Lines;491276.0;5456626.0;49.2623359131;-123.119904984;49.2623359131,-123.119904984
Parallel Lines;488523.0;5456596.0;49.2620205945;-123.157741957;49.2620205945,-123.157741957
Parallel Lines;488348.0;5456495.0;49.2611087734;-123.160144239;49.2611087734,-123.160144239
Parallel Lines;487768.0;5456625.0;49.2622668212;-123.168119654;49.2622668212,-123.168119654
Parallel Lines;487483.0;5456834.0;49.2641410442;-123.172043282;49.2641410442,-123.172043282
Parallel Lines;487340.0;5456740.0;49.2632925556;-123.174005802;49.2632925556,-123.174005802
Parallel Lines;486777.0;5457136.0;49.2668427244;-123.181757018;49.2668427244,-123.181757018
Parallel Lines;486080.0;5456968.0;49.2653160708;-123.191331747;49.2653160708,-123.191331747
Parallel Lines;485234.0;5456989.0;49.2654851275;-123.2029608;49.2654851275,-123.2029608
Zebra Crossing;486117.0;5452546.0;49.225540216;-123.190669962;49.225540216,-123.190669962
Zebra Crossing;487202.0;5453777.0;49.2366369573;-123.175807872;49.2366369573,-123.175807872
Zebra Crossing;486991.0;5453779.0;49.2366505002;-123.178706458;49.2366505002,-123.178706458
Zebra Crossing;487941.0;5454815.0;49.2459889792;-123.165687408;49.2459889792,-123.165687408
Zebra Crossing;487776.0;5455049.0;49.2480905803;-123.167961593;49.2480905803,-123.167961593
Zebra Crossing;486763.0;5455269.0;49.2500484458;-123.181887729;49.2500484458,-123.181887729
Zebra Crossing;487009.0;5455951.0;49.2561884284;-123.178529618;49.2561884284,-123.178529618
Zebra Crossing;488001.0;5456107.0;49.2576119374;-123.164901733;49.2576119374,-123.164901733
Zebra Crossing;488941.0;5453952.0;49.2382450047;-123.151923915;49.2382450047,-123.151923915
Zebra Crossing;488460.0;5453550.0;49.2346200508;-123.158520093;49.2346200508,-123.158520093
Zebra Crossing;489120.0;5452913.0;49.2289021787;-123.149436701;49.2289021787,-123.149436701
Zebra Crossing;488898.0;5451869.0;49.2195071702;-123.152456964;49.2195071702,-123.152456964
Zebra Crossing;488748.0;5451872.0;49.2195314189;-123.154516899;49.2195314189,-123.154516899
Zebra Crossing;488744.0;5451712.0;49.2180921069;-123.15456734;49.2180921069,-123.15456734
Zebra Crossing;489139.0;5451604.0;49.2171277511;-123.149140298;49.2171277511,-123.149140298
Zebra Crossing;489732.0;5450264.0;49.2050843311;-123.140963135;49.2050843311,-123.140963135
Zebra Crossing;490218.0;5450898.0;49.2107952797;-123.134306603;49.2107952797,-123.134306603
Zebra Crossing;492003.0;5451569.0;49.2168569992;-123.109812021;49.2168569992,-123.109812021
Zebra Crossing;491003.0;5454285.0;49.2412741922;-123.123604574;49.2412741922,-123.123604574
Zebra Crossing;490949.0;5456044.0;49.2570959618;-123.12438619;49.2570959618,-123.12438619
Zebra Crossing;490875.0;5456503.0;49.2612236542;-123.125413617;49.2612236542,-123.125413617
Zebra Crossing;491697.0;5457142.0;49.2669832882;-123.114129364;49.2669832882,-123.114129364
Zebra Crossing;492707.0;5456774.0;49.2636859385;-123.100239669;49.2636859385,-123.100239669
Zebra Crossing;493176.0;5455973.0;49.2564861983;-123.093779788;49.2564861983,-123.093779788
