OBJECTID;USE;HBLOCK;LENGTH;LOWADDR;HIGHADDR;comments;POINT_X;POINT_Y
1777.0;Residential;1000-1100 W 47TH AV;216.134112;1000.0;1100.0;No sidewalks both sides;490408.172031;5452867.48292
1778.0;Residential;1000-1100 W 47TH AV;216.134112;1000.0;1100.0;No sidewalks both sides;490387.070152;5452868.64972
1786.0;Residential;2700 E 43RD AV;50.300222;2700.0;2700.0;No sidewalk both sides;496350.217016;5453153.53018
1787.0;Residential;2700 E 43RD AV;50.300222;2700.0;2700.0;No sidewalk both sides;496400.510881;5453154.32981
1788.0;Residential;1300 E 39TH AV;50.554927;1300.0;1300.0;No sidewalk both sides;494346.744865;5453561.07926
1789.0;Residential;1300 E 39TH AV;50.554927;1300.0;1300.0;No sidewalk both sides;494397.287748;5453559.97582
1793.0;Residential;2200 NOOTKA ST;50.352998;2200.0;2200.0;No sidewalk both sides;496977.07234;5456838.29213
1795.0;Residential;2200 NOOTKA ST;50.195546;2200.0;2200.0;No sidewalk both sides;496976.838283;5456788.09713
1800.0;Residential;1800-1900 DRUMMOND DRIVE;121.059991;1800.0;1900.0;No sidewalk both sides;483962.930264;5457568.93342
1803.0;Residential;1300 E 39TH AV;50.485831;1300.0;1300.0;No sidewalk both sides;494296.422754;5453561.90964
1804.0;Residential;4300 MAPLE ST;49.6096;4300.0;4300.0;No sidewalk both sides;488949.591727;5454943.64024
1806.0;Residential;4400 MAGNOLIA ST;54.82709;4400.0;4400.0;No sidewalks both sides;489051.362774;5454888.82817
1809.0;Residential;4500 MAGNOLIA ST;7.905633;4500.0;4500.0;No sidewalks both sides;489100.25866;5454744.83759
1811.0;Residential;6600-6800 NEAL ST;49.705608;6600.0;6800.0;No sidewalks both sides;491097.324303;5452472.12689
1812.0;Residential;700-800 W 48TH AV;222.708281;700.0;800.0;No sidewalk both sides;491037.31139;5452732.49246
1814.0;Residential;700-800 W 48TH AV;222.708281;700.0;800.0;No sidewalk both sides;490907.502344;5452739.53601
1816.0;Residential;700-800 W 48TH AV;222.708281;700.0;800.0;No sidewalk both sides;490814.930241;5452744.55905
1820.0;Residential;6000 FREMLIN ST;103.565584;6000.0;6000.0;No sidewalk both sides;490771.640235;5453091.03589
1827.0;Residential;1600 E 62ND AV;51.801714;1600.0;1600.0;No sidewalk both sides;494700.240005;5451219.12967
1828.0;Residential;1600 E 62ND AV;51.801714;1600.0;1600.0;No sidewalk both sides;494752.035692;5451218.3395
1831.0;Residential;6600 WINDSOR ST;54.025401;6600.0;6600.0;No sidewalk both sides;493789.813877;5452359.26739
1832.0;Residential;6600 WINDSOR ST;54.025401;6600.0;6600.0;No sidewalk both sides;493788.936633;5452305.24911
1835.0;Residential;1500 W 75TH AV;79.410111;1500.0;1500.0;No sidewalk both sides;489610.438817;5450184.38152
1836.0;Residential;7400 DUMFRIES ST;48.5876;7400.0;7400.0;No sidewalk both sides;494499.965288;5451561.67235
1841.0;Residential;3300-3500 CELTIC AV;230.022945;3300.0;3500.0;No sidewalk on both sides;486775.101124;5451793.5347
1846.0;Residential;3000 LILLOOET ST;45.052302;3000.0;3000.0;No sidewalk both sides;497159.280188;5456004.60744
1849.0;Residential;6100-6200 MACKENZIE ST;183.750715;6100.0;6200.0;No sidewalk both sides;487600.922245;5453019.03211
1855.0;Residential;3100 W 51ST AV;221.209243;3100.0;3100.0;No sidewalks both sides;487187.115711;5452529.02854
1859.0;Residential;2200 E 12TH AV;67.581619;2200.0;2200.0;No sidewalks both sides;495696.908938;5456303.39457
1860.0;Residential;2200 E 12TH AV;67.581619;2200.0;2200.0;No sidewalks both sides;495761.903937;5456302.58829
1864.0;Residential;3100 WINDERMERE ST;44.9953;3100.0;3100.0;No sidewalk both sides;497342.414772;5455914.21149
1869.0;Residential;800 MALKIN AV;110.531603;800.0;800.0;No sidewalks both sides;493639.826361;5457993.81926
1871.0;Residential;800 MALKIN AV;110.531603;800.0;800.0;No sidewalks both sides;493738.30196;5457943.62173
1874.0;Secondary Arterial;1300 E KENT AV SOUTH;115.138644;1300.0;1300.0;No sidewalk both sides;494112.779278;5450669.13223
1876.0;Secondary Arterial;1300 E KENT AV SOUTH;115.138644;1300.0;1300.0;No sidewalk both sides;494226.990408;5450683.71733
1881.0;Residential;1600 E 64TH AV;49.332909;1600.0;1600.0;No sidewalk both sides;494749.888005;5451022.43249
1884.0;Residential;1600 E 64TH AV;95.415226;1600.0;1600.0;No sidewalk both sides;494700.559019;5451023.05462
1888.0;Residential;7600 EAST BOULEVARD;47.07151;7600.0;7600.0;no sidewalk both sides-  small portion north of block.;489204.838993;5451532.5544
1889.0;Residential;2000 W 50TH AV;49.860142;2000.0;2000.0;No sidewalk both sides;488858.875184;5452570.36444
1893.0;Residential;7800 YUKON ST;50.265908;7800.0;7800.0;No sidewalks both sides;491654.187721;5451260.54778
1895.0;Residential;7800 YUKON ST;50.582912;7800.0;7800.0;No sidewalks both sides;491652.701465;5451210.30388
1898.0;Residential;7700 ASH ST;50.311653;7700.0;7700.0;No sidewalks both sides;491253.473115;5451324.904
1904.0;Residential;400 W 58TH AV;195.889097;400.0;400.0;No sidewalks both sides;491685.366115;5451674.4363
1905.0;Residential;400 W 58TH AV;195.889097;400.0;400.0;No sidewalks both sides;491620.377575;5451675.65682
1906.0;Residential;400 W 58TH AV;195.889097;400.0;400.0;No sidewalks both sides;491555.389035;5451676.87734
1909.0;Residential;1400 W 52ND AV;39.497648;1400.0;1400.0;No sidewalk on both sides;489860.89945;5452374.2581
1910.0;Residential;2200 KASLO ST;50.261807;2200.0;2200.0;No sidewalks both sides;496579.783096;5456840.40566
1914.0;Residential;3200 W 48TH AV;210.017783;3200.0;3200.0;No sidewalk both sides;487194.116432;5452870.78838
1915.0;Residential;3200 W 48TH AV;210.017783;3200.0;3200.0;No sidewalk both sides;487129.129435;5452872.08846
