"","gender","year","area","car_drv","car_psg","transit","walk","bicycle","other"
"331","male",2016,"SUN",0.622163588390501,0.0437994722955145,0.266490765171504,0.0226912928759894,0.0306068601583113,0.0142480211081794
"337","female",2016,"SUN",0.428243398392652,0.0706084959816303,0.444890929965557,0.0338691159586682,0.0166475315729047,0.00574052812858783
"343","total",2016,"VF",0.608618862592723,0.0579300600494525,0.291416460614624,0.0243730130695867,0.00777110561638997,0.0098904980572236
"349","male",2016,"VF",0.71251719394773,0.0419532324621733,0.207702888583219,0.015130674002751,0.0110041265474553,0.0116918844566713
"355","female",2016,"VF",0.499274310595065,0.0747460087082729,0.378809869375907,0.034833091436865,0.00435413642960813,0.00798258345428157
"361","total",2016,"WE",0.247481764501563,0.0191038555053838,0.266238277179576,0.374956582146579,0.0727683223341438,0.0194511983327544
"367","male",2016,"WE",0.289641943734015,0.0137468030690537,0.233056265984655,0.353900255754476,0.0869565217391304,0.0226982097186701
"373","female",2016,"WE",0.197183098591549,0.0255043776170537,0.306052531404644,0.400456794822992,0.0551960411115341,0.0156071564522269
"379","total",2016,"WPG",0.521068859198356,0.0308324768756423,0.261048304213772,0.0709146968139774,0.104830421377184,0.0113052415210689
"385","male",2016,"WPG",0.533468559837728,0.0162271805273834,0.243407707910751,0.0628803245436105,0.133874239350913,0.0101419878296146
"391","female",2016,"WPG",0.511530398322851,0.0440251572327044,0.278825995807128,0.079664570230608,0.0754716981132075,0.010482180293501
