Date;Time;Location;Location Type;Pedestrian;Bike;Motorcycle;Veh;Age;Gender ;Lat;Long;geopoint
2017-04-02 00:00:00;21:17:00;400 SE Marine Dr;Mid-block;;;;1;60-69;F;49.2110746946;-123.096200364;49.2110746946,-123.096200364
2017-04-23 00:00:00;05:06:00;Victoria Diversion at Commercial St;Close to Intersection;;;;1;20-29;M;;;
2017-08-22 00:00:00;10:33:00;E 41st Ave at Fraser St;Intersection;1;;;0;80-89;F;49.23289146;-123.090557705;49.23289146,-123.090557705
2017-12-19 00:00:00;01:00:00;Burrard Bridge;Midblock;;;;1;30-39;M;49.2753807598;-123.137183002;49.2753807598,-123.137183002
2018-07-07 00:00:00;08:46:00;E Hastings St / Princess Av;Intersection;;;;1;70-79;M;49.2811846967;-123.091480448;49.2811846967,-123.091480448
2018-08-15 00:00:00;06:13:00;W Broadway Ave / Yew St;Intersection;;;1;;50-59;M;49.2638665649;-123.15529746;49.2638665649,-123.15529746
2018-08-24 00:00:00;02:37:00;W 33rd Ave / Arbutus St;Close to Intersection;;;;1;30-39;M;49.242100153;-123.153459642;49.242100153,-123.153459642
2018-10-18 00:00:00;06:12:00;SE Marine Dr / Ross St;Mid-block;1;;;;30-39;M;49.211118507;-123.084059733;49.211118507,-123.084059733
2018-12-27 00:00:00;03:16:00;1000 Block Kingsway;Mid-block;1;;;0;30-39;M;49.2534006487;-123.082747962;49.2534006487,-123.082747962
2019-01-11 00:00:00;10:49:00;1500 Block E 33rd Ave;Close to Intersection;;;;1;90-99;F;49.2401630739;-123.073124023;49.2401630739,-123.073124023
2019-01-18 00:00:00;01:26:00;E 41st Ave / Commercial St;Intersection;1;;;;50-59;F;49.2326198569;-123.06872997;49.2326198569,-123.06872997
2019-02-05 00:00:00;10:16:00;E Hastings St / Commercial Dr;Intersection;1;;;;70-79;F;49.2812346763;-123.070389728;49.2812346763,-123.070389728
2019-04-01 00:00:00;18:41:00;600 Block E 49th Av;Close to Intersection;1;;;;80-89;M;49.2255070687;-123.093030533;49.2255070687,-123.093030533
09-14860;;W King Edward Av/Arbutus St;;1;;;0;40-49;F;49.2515482436;-123.153108986;49.2515482436,-123.153108986
09-151434;;Expo Blvd/Abbott St;;1;;;0;0-10;F;49.2786477943;-123.107620736;49.2786477943,-123.107620736
09-180113;;Denman St/Davie St;;1;;;0;70-79;F;49.2872535697;-123.141809621;49.2872535697,-123.141809621
09-22698;;W 4th Av/Anderson St;;1;;;0;20-29;F;;;
09-22698;;W 4th Av/Anderson St;;1;;;0;30-39;M;;;
09-85785;;W 70th Av/Heather St;;;;1;0;40-49;M;49.2083785569;-123.124199771;49.2083785569,-123.124199771
