ID;Street 1;Street 2;Address;NW;NE;SW;SE;Lat ;Long;UTM_X;UTM_Y;School;geopoint
439.0;E 45th Ave;Kerr St;E 45th Ave & Kerr St, Vancouver, BC, Canada;;D;S;S;49.229288;-123.040795;497029.0;5452945.0;;49.229288,-123.040795
440.0;E 45th Ave;Arlington St;E 45th Ave & Arlington St, Vancouver, BC, Canada;S;S;;;49.229246;-123.02777;497978.0;5452940.0;;49.229246,-123.02777
443.0;E 46th Ave;Main St;E 46th Ave & Main St, Vancouver, BC, Canada;S;D;D;S;49.228475;-123.101582;492604.0;5452859.0;;49.228475,-123.101582
444.0;E 46th Ave;Sophia St;E 46th Ave & Sophia St, Vancouver, BC, Canada;;;;S;49.22841;-123.099461;492758.0;5452852.0;;49.22841,-123.099461
447.0;W 47th Ave;Larch St;W 47th Ave & Larch St, Vancouver, BC, Canada;;S;;;49.229066;-123.162976;488134.0;5452933.0;;49.229066,-123.162976
451.0;E 47th Ave;Victoria Dr;E 47th Ave & Victoria Dr, Vancouver, BC, Canada;S;S;S;;49.227641;-123.065713;495215.0;5452764.0;;49.227641,-123.065713
463.0;E 50th Ave;Prince Edward St;E 50th Ave & Prince Edward St, Vancouver, BC, Canada;S;;;S;49.224616;-123.097546;492897.0;5452430.0;;49.224616,-123.097546
464.0;E 50th Ave;Windsor St;E 50th Ave & Windsor St, Vancouver, BC, Canada;;;;S;49.22445;-123.085274;493790.0;5452410.0;;49.22445,-123.085274
466.0;W 51st Ave;Arbutus St;W 51st Ave & Arbutus St, Vancouver, BC, Canada;S;;;;49.22499;-123.155237;488696.0;5452478.0;;49.22499,-123.155237
473.0;E 51st Ave;Culloden St;E 51st Ave & Culloden St, Vancouver, BC, Canada;S;;;;49.223413;-123.078771;494264.0;5452295.0;;49.223413,-123.078771
474.0;E 51st Ave;Commercial St;E 51st Ave & Commercial St, Vancouver, BC, Canada;;S;;;49.223491;-123.069065;494971.0;5452302.0;;49.223491,-123.069065
477.0;E 52nd Ave;Windsor St;E 52nd Ave & Windsor St, Vancouver, BC, Canada;S;;;;49.222656;-123.085312;493787.0;5452211.0;;49.222656,-123.085312
478.0;E 52nd Ave;Commercial St;E 52nd Ave & Commercial St, Vancouver, BC, Canada;;;S;S;49.222686;-123.06909;494969.0;5452213.0;;49.222686,-123.06909
479.0;E 52nd Ave;Elliott St;E 52nd Ave & Elliott St, Vancouver, BC, Canada;S;S;S;;49.221972;-123.054838;496006.0;5452133.0;Kingsford-Smith;49.221972,-123.054838
480.0;E 52nd Ave;Doman St;E 52nd Ave & Doman St, Vancouver, BC, Canada;;;;S;49.222027;-123.036749;497324.0;5452138.0;;49.222027,-123.036749
482.0;E 53rd Ave;Inverness St;E 53rd Ave & Inverness St, Vancouver, BC, Canada;S;S;;;49.221842;-123.080186;494161.0;5452120.0;;49.221842,-123.080186
487.0;E 54th Ave;Prince Edward St;E 54th Ave & Prince Edward St, Vancouver, BC, Canada;;;S;S;49.220964;-123.09767;492887.0;5452024.0;;49.220964,-123.09767
490.0;E 55th Ave;Prince Edward St;E 55th Ave & Prince Edward St, Vancouver, BC, Canada;S;;;;49.220077;-123.097697;492885.0;5451925.0;;49.220077,-123.097697
491.0;E 56th Ave;Ontario St;E 56th Ave & Ontario St, Vancouver, BC, Canada;S;;S;S;49.219373;-123.106166;492268.0;5451848.0;;49.219373,-123.106166
494.0;W 57th Ave;Maple St;W 57th Ave & Maple St, Vancouver, BC, Canada;D;;S;;49.21951;-123.152463;488897.0;5451869.0;;49.21951,-123.152463
496.0;W 57th Ave;Angus Dr;W 57th Ave & Angus Dr, Vancouver, BC, Canada;S;;S;S;49.219439;-123.148231;489205.0;5451860.0;;49.219439,-123.148231
498.0;E 57th Ave;Prince Edward St;E 57th Ave & Prince Edward St, Vancouver, BC, Canada;;;S;S;49.218373;-123.097747;492881.0;5451736.0;;49.218373,-123.097747
501.0;E 57th Ave;Prince Albert St;E 57th Ave & Prince Albert St, Vancouver, BC, Canada;;;;S;49.218206;-123.087789;493606.0;5451716.0;;49.218206,-123.087789
502.0;E 57th Ave;Fleming St;E 57th Ave & Fleming St, Vancouver, BC, Canada;S;S;S;;49.218098;-123.073978;494612.0;5451703.0;;49.218098,-123.073978
505.0;W 58th Ave;Cambie St;W 58th Ave & Cambie St, Vancouver, BC, Canada;;;;S;49.217837;-123.116649;491505.0;5451678.0;;49.217837,-123.116649
507.0;E 58th Ave;Prince Edward St;E 58th Ave & Prince Edward St, Vancouver, BC, Canada;S;;S;;49.217256;-123.097789;492878.0;5451612.0;;49.217256,-123.097789
508.0;E 58th Ave;Prince Albert St;E 58th Ave & Prince Albert St, Vancouver, BC, Canada;S;;;;49.217334;-123.087818;493604.0;5451619.0;;49.217334,-123.087818
509.0;E 58th Ave;Windsor St;E 58th Ave & Windsor St, Vancouver, BC, Canada;;;;D;49.217304;-123.085467;493775.0;5451616.0;;49.217304,-123.085467
511.0;W 59th Ave;Arbutus St;W 59th Ave & Arbutus St, Vancouver, BC, Canada;;;S;S;49.218105;-123.154551;488745.0;5451713.0;McKechnie;49.218105,-123.154551
514.0;W 59th Ave;Laurel St;W 59th Ave & Laurel St, Vancouver, BC, Canada;D;D;S;S;49.217041;-123.126154;490812.0;5451591.0;Laurier;49.217041,-123.126154
520.0;W 59th Ave;Ontario St;W 59th Ave & Ontario St, Vancouver, BC, Canada;D;D;D;D;49.216834;-123.106237;492263.0;5451566.0;Sexsmith;49.216834,-123.106237
523.0;E 59th Ave;Windsor St;E 59th Ave & Windsor St, Vancouver, BC, Canada;D;S;S;S;49.216455;-123.085486;493774.0;5451522.0;Moberly;49.216455,-123.085486
525.0;E 59th Ave;Borden St;E 59th Ave & Borden St, Vancouver, BC, Canada;;;;S;49.216331;-123.074014;494609.0;5451507.0;;49.216331,-123.074014
529.0;E 61st Ave;Prince Edward St;E 61st Ave & Prince Edward St, Vancouver, BC, Canada;;;S;S;49.214963;-123.097867;492872.0;5451357.0;Trudeau;49.214963,-123.097867
532.0;E 62nd Ave;St George St;E 62nd Ave & St George St, Vancouver, BC, Canada;S;S;;;49.214208;-123.094186;493140.0;5451272.0;Trudeau;49.214208,-123.094186
535.0;E 63rd Ave;Chester St;E 63rd Ave & Chester St, Vancouver, BC, Canada;;;;S;49.212962;-123.089529;493479.0;5451134.0;;49.212962,-123.089529
538.0;E 64th Ave;Borden St;E 64th Ave & Borden St, Vancouver, BC, Canada;;;S;;49.211986;-123.074079;494604.0;5451024.0;;49.211986,-123.074079
545.0;W 67th Ave;Selkirk St;W 67th Ave & Selkirk St, Vancouver, BC, Canada;S;;S;;49.210762;-123.132921;490318.0;5450894.0;;49.210762,-123.132921
546.0;W 67th Ave;Heather St;W 67th Ave & Heather St, Vancouver, BC, Canada;S;;;S;49.210621;-123.12411;490960.0;5450877.0;;49.210621,-123.12411
548.0;W 69th Ave;Heather St;W 69th Ave & Heather St, Vancouver, BC, Canada;S;S;S;S;49.209354;-123.124171;490955.0;5450736.0;;49.209354,-123.124171
550.0;W 70th Ave;Monteclam St;W 70th Ave & Monteclam St, Vancouver, BC, Canada;S;S;;;49.20855;-123.135804;490108.0;5450648.0;;49.20855,-123.135804
552.0;Alma St;Point grey Rd;Alma St & Point grey Rd, Vancouver, BC, Canada;D;S;;;49.27227;-123.185581;486500.0;5457740.0;;49.27227,-123.185581
554.0;Mayfair Ave;Blenheim St;Mayfair Ave & Blenheim St, Vancouver, BC, Canada;;;S;;49.236906;-123.178714;486990.0;5453807.0;;49.236906,-123.178714
555.0;Musquem Ave;Mali Ave;Musquem Ave & Mali Ave, Vancouver, BC, Canada;D;D;;;49.225098;-123.200636;485391.0;5452498.0;;49.225098,-123.200636
557.0;W Broadway;Dunbar St;W Broadway & Dunbar St, Vancouver, BC, Canada;D;D;D;S;49.264343;-123.183785;486628.0;5456858.0;;49.264343,-123.183785
566.0;W Broadway;Larch St;W Broadway & Larch St, Vancouver, BC, Canada;S;D;D;S;49.263987;-123.162409;488183.0;5456815.0;;49.263987,-123.162409
567.0;W Broadway;Balsam St;W Broadway & Balsam St, Vancouver, BC, Canada;S;S;;;49.263941;-123.160028;488357.0;5456809.0;;49.263941,-123.160028
569.0;W Broadway;Stephens St;W Broadway & Stephens St, Vancouver, BC, Canada;S;D;D;S;49.264016;-123.166499;487886.0;5456819.0;;49.264016,-123.166499
570.0;W King Edward Ave;Collingwood St;W King Edward Ave & Collingwood St, Vancouver, BC, Canada;S;D;;S;49.24994;-123.181851;486765.0;5455256.0;;49.24994,-123.181851
571.0;W King Edward Ave;Carnarvon St;W King Edward Ave & Carnarvon St, Vancouver, BC, Canada;;;;S;49.249931;-123.172886;487418.0;5455254.0;;49.249931,-123.172886
572.0;W King Edward Ave;Brakenridge St;W King Edward Ave & Brakenridge St, Vancouver, BC, Canada;;S;;;49.248454;-123.162354;488184.0;5455088.0;;49.248454,-123.162354
575.0;Whyte Ave;Chestnut St;Whyte Ave & Chestnut St, Vancouver, BC, Canada;;S;;S;49.275307;-123.146234;489363.0;5458071.0;;49.275307,-123.146234
580.0;Cypress St;Cedar Crescent;Cypress St & Cedar Crescent, Vancouver, BC, Canada;S;;S;S;49.254194;-123.14853;489191.0;5455724.0;;49.254194,-123.14853
582.0;Comox St;Guilford St;Comox St & Guilford St, Vancouver, BC, Canada;;S;S;D;49.288503;-123.13858;489922.0;5459537.0;;49.288503,-123.13858
587.0;Comox St;Bute St;Comox St & Bute St, Vancouver, BC, Canada;S;;;S;49.28319;-123.131215;490457.0;5458945.0;;49.28319,-123.131215
591.0;Nicola St;Pender St;Nicola St & Pender St, Vancouver, BC, Canada;S;;;;49.290049;-123.12904;490616.0;5459707.0;;49.290049,-123.12904
600.0;Thurlow St;Burnaby St;Thurlow St & Burnaby St, Vancouver, BC, Canada;S;S;S;S;49.279684;-123.132254;490380.0;5458556.0;;49.279684,-123.132254
603.0;Drake St;Hornby St;Drake St & Hornby St, Vancouver, BC, Canada;;S;;;49.277365;-123.129753;490562.0;5458297.0;;49.277365,-123.129753
607.0;Richards St;Pacific St;Richards St & Pacific St, Vancouver, BC, Canada;;S;D;S;49.273719;-123.127501;490725.0;5457892.0;;49.273719,-123.127501
615.0;Hamilton St;Nelson St;Hamilton St & Nelson St, Vancouver, BC, Canada;;S;S;;49.276989;-123.119489;491308.0;5458254.0;;49.276989,-123.119489
616.0;Hamilton St;Helmcken St;Hamilton St & Helmcken St, Vancouver, BC, Canada;D;;D;;49.275918;-123.121079;491192.0;5458136.0;;49.275918,-123.121079
622.0;Pacific Blvd;Cambie St;Pacific Blvd & Cambie St, Vancouver, BC, Canada;S;S;;;49.274439;-123.119215;491328.0;5457971.0;;49.274439,-123.119215
623.0;Nelson St;Cambie St;Nelson St & Cambie St, Vancouver, BC, Canada;;;S;S;49.273321;-123.114884;491643.0;5457846.0;;49.273321,-123.114884
624.0;W Cordova St;Cambie St;W Cordova St & Cambie St, Vancouver, BC, Canada;D;;;;49.283538;-123.109141;492062.0;5458981.0;;49.283538,-123.109141
626.0;Smithe St;Expo Blvd;Smithe St & Expo Blvd, Vancouver, BC, Canada;;;S;;49.275783;-123.114795;491650.0;5458120.0;;49.275783,-123.114795
627.0;Griffiths Way;Expo Blvd;Griffiths Way & Expo Blvd, Vancouver, BC, Canada;S;;;;49.277881;-123.11033;491975.0;5458353.0;;49.277881,-123.11033
631.0;Abbott St;W Pender St;Abbott St & W Pender St, Vancouver, BC, Canada;;S;;;49.281097;-123.107561;492177.0;5458710.0;;49.281097,-123.107561
634.0;Carrall St;Keefer St;Carrall St & Keefer St, Vancouver, BC, Canada;S;S;S;;49.279243;-123.104456;492402.0;5458503.0;;49.279243,-123.104456
636.0;Carrall St;W Hastings St;Carrall St & W Hastings St, Vancouver, BC, Canada;S;;;S;49.281494;-123.104334;492411.0;5458754.0;;49.281494,-123.104334
637.0;Carrall St;W Cordova St;Carrall St & W Cordova St, Vancouver, BC, Canada;S;;D;S;49.282474;-123.104319;492413.0;5458863.0;;49.282474,-123.104319
638.0;Quebec St;Milross Ave;Quebec St & Milross Ave, Vancouver, BC, Canada;;S;;S;49.276076;-123.102092;492574.0;5458151.0;;49.276076,-123.102092
640.0;Quebec St;Central St;Quebec St & Central St, Vancouver, BC, Canada;;;;S;49.271931;-123.101808;492594.0;5457690.0;;49.271931,-123.101808
