"","gender","year","area","incsd","incd","inprov","outprov","commutepop"
"137","male",2016,"MP",0.702430349733254,0.287492590397155,0.00533491404860699,0.00474214582098399,8435
"141","female",2016,"MP",0.757852077001013,0.235562310030395,0.00557244174265451,0.00101317122593718,9870
"145","total",2016,"OAK",0.645833333333333,0.346354166666667,0.00390625,0.00390625,3840
"149","male",2016,"OAK",0.57258064516129,0.416666666666667,0.00537634408602151,0.00537634408602151,1860
"153","female",2016,"OAK",0.713924050632911,0.275949367088608,0.00506329113924051,0.00506329113924051,1975
"157","total",2016,"RC",0.593900833698991,0.397981570864414,0.00416849495392716,0.00394910048266784,22790
"161","male",2016,"RC",0.538599640933573,0.451526032315978,0.00583482944344704,0.0040394973070018,11140
"165","female",2016,"RC",0.646629454701589,0.347359381708888,0.0025762129669386,0.0034349506225848,11645
"169","total",2016,"RP",0.701584057230455,0.288707204905468,0.00613183444047011,0.00357690342360756,9785
"173","male",2016,"RP",0.660398230088496,0.32853982300885,0.00774336283185841,0.00331858407079646,4520
"177","female",2016,"RP",0.735992402659069,0.253561253561254,0.0056980056980057,0.00474833808167141,5265
"181","total",2016,"SHAU",0.740667976424361,0.243614931237721,0.0117878192534381,0.00392927308447937,2545
"185","male",2016,"SHAU",0.721189591078067,0.256505576208178,0.0148698884758364,0.00743494423791822,1345
"189","female",2016,"SHAU",0.755186721991701,0.228215767634855,0.00829875518672199,0.00829875518672199,1205
"193","total",2016,"SC",0.729264475743349,0.267605633802817,0,0.00312989045383412,3195
"197","male",2016,"SC",0.655518394648829,0.337792642140468,0,0.00668896321070234,1495
"201","female",2016,"SC",0.79646017699115,0.20353982300885,0,0,1695
"205","total",2016,"STR",0.750778816199377,0.238317757009346,0.00778816199376947,0.00311526479750779,3210
"209","male",2016,"STR",0.731117824773414,0.250755287009063,0.0120845921450151,0.00604229607250755,1655
"213","female",2016,"STR",0.774193548387097,0.225806451612903,0,0,1550
"217","total",2016,"SUN",0.616666666666667,0.375666666666667,0.00366666666666667,0.004,15000
"221","male",2016,"SUN",0.558155540261528,0.432209222298692,0.00412938747419133,0.00550584996558844,7265
"225","female",2016,"SUN",0.671622495151907,0.322559793148028,0.00323206205559147,0.00258564964447317,7735
"229","total",2016,"VF",0.564609053497942,0.426337448559671,0.00699588477366255,0.00205761316872428,12150
"233","male",2016,"VF",0.488431876606684,0.500428449014567,0.0111396743787489,0,5835
"237","female",2016,"VF",0.635210150674068,0.358445678033307,0.00317208564631245,0.00317208564631245,6305
"241","total",2016,"WE",0.771428571428571,0.215549076773567,0.0075801749271137,0.0054421768707483,25725
"245","male",2016,"WE",0.755374351371386,0.231653076352854,0.00593031875463306,0.00704225352112676,13490
"249","female",2016,"WE",0.789452166802944,0.197874080130826,0.00940310711365495,0.00327064595257563,12230
"253","total",2016,"WPG",0.647398843930636,0.338728323699422,0.0092485549132948,0.0046242774566474,4325
"257","male",2016,"WPG",0.645687645687646,0.34032634032634,0.00932400932400932,0.00466200466200466,2145
"261","female",2016,"WPG",0.649082568807339,0.337155963302752,0.00917431192660551,0.00458715596330275,2180
